NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","646","2347","66","253","0.907303370786517","0.718576195773081","0.801986343885785"
"Fold","45","404","30","52","0.6","0.463917525773196","0.523255813953488"
"Fold","66","214","5","75","0.929577464788732","0.468085106382979","0.622641509433962"
"Fold","230","194","70","34","0.766666666666667","0.871212121212121","0.815602836879433"
"Fold","42","316","41","80","0.506024096385542","0.344262295081967","0.409756097560976"
"Fold","42","88","1","21","0.976744186046512","0.666666666666667","0.792452830188679"
"Fold","5","113","0","24","1","0.172413793103448","0.294117647058824"
"Fold","66","263","2","32","0.970588235294118","0.673469387755102","0.795180722891566"
"Fold","10","129","6","9","0.625","0.526315789473684","0.571428571428571"
"Fold","1","156","0","11","1","0.0833333333333333","0.153846153846154"
"Fold","13","388","28","50","0.317073170731707","0.206349206349206","0.25"
"CV Avg","52","226.5","18.3","38.8","0.769167381991328","0.44760252251317","0.522828218324165"
"Test","636","2311","102","263","0.861788617886179","0.707452725250278","0.777031154551008"
